date,tweet,urls
2024-11-01 21:00:00,I'm not feeling Dorathy anymore #BBNaija,https://twitter.com/user31/status/1234567890123461673
2024-11-04 13:00:00,Dorathy is so genuine and authentic! We love you! #BBNaija #VoteDorathy,https://twitter.com/user12/status/1234567890123465452
2024-11-01 10:00:00,Dorathy is the best housemate this season! Love them so much! 💕 #BBNaija,https://twitter.com/user7/status/1234567890123458956
2024-11-06 01:00:00,Dorathy is the most deserving housemate! No cap! #BBNaija #VoteDorathy,https://twitter.com/user6/status/1234567890123461545
2024-11-06 01:00:00,Dorathy has my full support! Let's do this! 💯 #BBNaija #TeamDorathy,https://twitter.com/user13/status/1234567890123459414
2024-11-01 18:00:00,Dorathy is in the diary room #BBNaija,https://twitter.com/user32/status/1234567890123461854
2024-11-02 00:00:00,Dorathy is bringing the entertainment we need! Love it! #BBNaija,https://twitter.com/user5/status/1234567890123458957
2024-11-03 06:00:00,Let's see what Dorathy does next #BBNaija,https://twitter.com/user35/status/1234567890123462971
2024-11-01 05:00:00,Dorathy is playing a weak game #BBNaija,https://twitter.com/user30/status/1234567890123458941
2024-11-04 22:00:00,Nobody can beat Dorathy! They're playing the game perfectly! #BBNaija,https://twitter.com/user24/status/1234567890123465786
2024-11-05 14:00:00,Dorathy has the best strategy in the house! #BBNaija #Winner,https://twitter.com/user2/status/1234567890123459773
2024-11-06 18:00:00,Dorathy is in the diary room #BBNaija,https://twitter.com/user34/status/1234567890123466388
2024-11-01 21:00:00,Dorathy is the best housemate this season! Love them so much! 💕 #BBNaija,https://twitter.com/user11/status/1234567890123464862
2024-11-03 12:00:00,Dorathy is the most deserving housemate! No cap! #BBNaija #VoteDorathy,https://twitter.com/user1/status/1234567890123463908
2024-11-04 23:00:00,I'm voting for Dorathy! They deserve to win! #BBNaija #VoteDorathy,https://twitter.com/user14/status/1234567890123463362
2024-11-05 01:00:00,Following Dorathy's journey in the house #BBNaija,https://twitter.com/user33/status/1234567890123459165
2024-11-04 19:00:00,Dorathy is competing in today's challenge #BBNaija,https://twitter.com/user38/status/1234567890123459465
2024-11-03 12:00:00,Interesting to see how Dorathy approaches the game #BBNaija,https://twitter.com/user36/status/1234567890123459969
2024-11-02 02:00:00,Dorathy just showed why they're a winner! 🔥 #BBNaija,https://twitter.com/user3/status/1234567890123463331
2024-11-06 10:00:00,I don't understand why Dorathy is still in the house #BBNaija,https://twitter.com/user27/status/1234567890123458752
2024-11-05 05:00:00,Not sure Dorathy deserves to be in the finals #BBNaija,https://twitter.com/user29/status/1234567890123458749
2024-11-04 06:00:00,Dorathy has the best strategy in the house! #BBNaija #Winner,https://twitter.com/user21/status/1234567890123464380
2024-11-05 23:00:00,Dorathy just showed why they're a winner! 🔥 #BBNaija,https://twitter.com/user0/status/1234567890123461084
2024-11-05 06:00:00,Watching Dorathy on tonight's episode #BBNaija,https://twitter.com/user39/status/1234567890123466116
2024-11-02 05:00:00,Dorathy is the best housemate this season! Love them so much! 💕 #BBNaija,https://twitter.com/user20/status/1234567890123464467
2024-11-02 09:00:00,Can't stop watching Dorathy! Such amazing energy! #BBNaija #TeamDorathy,https://twitter.com/user25/status/1234567890123461380
2024-11-06 17:00:00,I'm voting for Dorathy! They deserve to win! #BBNaija #VoteDorathy,https://twitter.com/user19/status/1234567890123458049
2024-11-05 04:00:00,Dorathy just showed why they're a winner! 🔥 #BBNaija,https://twitter.com/user9/status/1234567890123465542
2024-11-04 10:00:00,Dorathy is nominated this week #BBNaija,https://twitter.com/user37/status/1234567890123459014
2024-11-02 08:00:00,Team Dorathy all the way! Let's get them to the finals! 💪 #BBNaija,https://twitter.com/user17/status/1234567890123465385
2024-11-05 23:00:00,I don't understand why Dorathy is still in the house #BBNaija,https://twitter.com/user26/status/1234567890123466698
2024-11-05 15:00:00,I don't understand why Dorathy is still in the house #BBNaija,https://twitter.com/user28/status/1234567890123466055
2024-11-04 13:00:00,Dorathy just showed why they're a winner! 🔥 #BBNaija,https://twitter.com/user10/status/1234567890123460918
2024-11-01 14:00:00,Dorathy just showed why they're a winner! 🔥 #BBNaija,https://twitter.com/user18/status/1234567890123459411
2024-11-04 08:00:00,I'm voting for Dorathy! They deserve to win! #BBNaija #VoteDorathy,https://twitter.com/user23/status/1234567890123465266
2024-11-01 07:00:00,Everyone should vote for Dorathy! They're the real deal! #BBNaija,https://twitter.com/user15/status/1234567890123460943
2024-11-05 17:00:00,I'm voting for Dorathy! They deserve to win! #BBNaija #VoteDorathy,https://twitter.com/user4/status/1234567890123461563
2024-11-01 05:00:00,The way Dorathy handled that situation was perfect! #BBNaija,https://twitter.com/user22/status/1234567890123464020
2024-11-02 08:00:00,I'm so proud of Dorathy! They've grown so much! #BBNaija #TeamDorathy,https://twitter.com/user8/status/1234567890123465750
2024-11-05 14:00:00,Dorathy just showed why they're a winner! 🔥 #BBNaija,https://twitter.com/user16/status/1234567890123460101
