date,tweet,urls
2024-11-04 18:00:00,Everyone should vote for Kiddwaya! They're the real deal! #BBNaija,https://twitter.com/user0/status/1234567890123463998
2024-11-04 22:00:00,Kiddwaya just showed why they're a winner! 🔥 #BBNaija,https://twitter.com/user10/status/1234567890123461785
2024-11-03 05:00:00,Why is Kiddwaya acting like this? So disappointing #BBNaija,https://twitter.com/user27/status/1234567890123458657
2024-11-03 22:00:00,Kiddwaya is playing a weak game #BBNaija,https://twitter.com/user24/status/1234567890123459881
2024-11-05 19:00:00,Following Kiddwaya's journey in the house #BBNaija,https://twitter.com/user32/status/1234567890123461518
2024-11-01 16:00:00,I'm so proud of Kiddwaya! They've grown so much! #BBNaija #TeamKiddwaya,https://twitter.com/user5/status/1234567890123460924
2024-11-01 22:00:00,Kiddwaya is being too fake for my liking #BBNaija,https://twitter.com/user22/status/1234567890123466562
2024-11-03 07:00:00,Nobody can beat Kiddwaya! They're playing the game perfectly! #BBNaija,https://twitter.com/user15/status/1234567890123459780
2024-11-04 03:00:00,Kiddwaya is being too fake for my liking #BBNaija,https://twitter.com/user28/status/1234567890123458887
2024-11-03 01:00:00,Kiddwaya needs to step up their game or leave #BBNaija,https://twitter.com/user23/status/1234567890123458705
2024-11-06 18:00:00,Nobody can beat Kiddwaya! They're playing the game perfectly! #BBNaija,https://twitter.com/user11/status/1234567890123463846
2024-11-01 02:00:00,Everyone should vote for Kiddwaya! They're the real deal! #BBNaija,https://twitter.com/user9/status/1234567890123462618
2024-11-03 15:00:00,I'm not feeling Kiddwaya anymore #BBNaija,https://twitter.com/user26/status/1234567890123465658
2024-11-05 16:00:00,Kiddwaya has the best strategy in the house! #BBNaija #Winner,https://twitter.com/user12/status/1234567890123463433
2024-11-02 03:00:00,Watching Kiddwaya on tonight's episode #BBNaija,https://twitter.com/user31/status/1234567890123464638
2024-11-01 15:00:00,Kiddwaya is so genuine and authentic! We love you! #BBNaija #VoteKiddwaya,https://twitter.com/user1/status/1234567890123463115
2024-11-01 05:00:00,Kiddwaya participated in tonight's task #BBNaija,https://twitter.com/user38/status/1234567890123457870
2024-11-06 18:00:00,Kiddwaya is being too fake for my liking #BBNaija,https://twitter.com/user19/status/1234567890123466403
2024-11-06 15:00:00,Give Kiddwaya the grand prize already! They earned it! 👑 #BBNaija,https://twitter.com/user8/status/1234567890123465139
2024-11-04 14:00:00,Kiddwaya participated in tonight's task #BBNaija,https://twitter.com/user33/status/1234567890123465075
2024-11-05 07:00:00,Kiddwaya has the best strategy in the house! #BBNaija #Winner,https://twitter.com/user7/status/1234567890123465596
2024-11-05 22:00:00,Can't relate to Kiddwaya's strategy at all #BBNaija,https://twitter.com/user17/status/1234567890123460839
2024-11-03 10:00:00,Everyone should vote for Kiddwaya! They're the real deal! #BBNaija,https://twitter.com/user3/status/1234567890123462373
2024-11-06 17:00:00,Team Kiddwaya all the way! Let's get them to the finals! 💪 #BBNaija,https://twitter.com/user13/status/1234567890123463221
2024-11-02 23:00:00,Kiddwaya is the best housemate this season! Love them so much! 💕 #BBNaija,https://twitter.com/user6/status/1234567890123464453
2024-11-05 13:00:00,Kiddwaya is nominated this week #BBNaija,https://twitter.com/user34/status/1234567890123462826
2024-11-02 11:00:00,Kiddwaya is being too fake for my liking #BBNaija,https://twitter.com/user21/status/1234567890123460749
2024-11-05 01:00:00,Following Kiddwaya's journey in the house #BBNaija,https://twitter.com/user35/status/1234567890123459449
2024-11-03 03:00:00,I'm not feeling Kiddwaya anymore #BBNaija,https://twitter.com/user20/status/1234567890123460989
2024-11-02 18:00:00,Kiddwaya had a conversation with another housemate #BBNaija,https://twitter.com/user30/status/1234567890123462797
2024-11-04 03:00:00,Kiddwaya made a terrible decision today #BBNaija,https://twitter.com/user25/status/1234567890123458014
2024-11-02 10:00:00,Can't relate to Kiddwaya's strategy at all #BBNaija,https://twitter.com/user16/status/1234567890123459763
2024-11-02 07:00:00,Watching Kiddwaya on tonight's episode #BBNaija,https://twitter.com/user37/status/1234567890123460673
2024-11-05 22:00:00,The way Kiddwaya handled that situation was perfect! #BBNaija,https://twitter.com/user4/status/1234567890123462319
2024-11-04 02:00:00,Kiddwaya is not bringing anything to the show #BBNaija,https://twitter.com/user29/status/1234567890123458696
2024-11-06 06:00:00,Interesting to see how Kiddwaya approaches the game #BBNaija,https://twitter.com/user36/status/1234567890123462160
2024-11-04 22:00:00,Kiddwaya is in the diary room #BBNaija,https://twitter.com/user39/status/1234567890123465527
2024-11-06 14:00:00,Kiddwaya is so genuine and authentic! We love you! #BBNaija #VoteKiddwaya,https://twitter.com/user14/status/1234567890123462241
2024-11-04 06:00:00,Can't stop watching Kiddwaya! Such amazing energy! #BBNaija #TeamKiddwaya,https://twitter.com/user2/status/1234567890123463604
2024-11-02 23:00:00,Not impressed with Kiddwaya's behavior today #BBNaija,https://twitter.com/user18/status/1234567890123465740
